GPA,study_hours_per_day,class_attendance_percent,sleep_hours,screen_time_hours,social_media_hours,gaming_hours,exercise_hours_per_week,exam_preparation_days,extracurricular_hours_per_week,final_exam_score,assignment_score
3.83,2.6,91,8,5.2,2.2,3.1,6.6,5,1.5,100,84
4,6.3,100,8.1,8.5,4.6,2,0,15,4.6,100,100
4,3.5,97,7.6,5.9,0.8,2.7,3.1,20,7.8,100,88
3.41,1.9,88,6.4,5.4,3.5,2.3,0,13,3.8,85,84
3.45,4.7,100,4.6,6.3,3.9,4.7,1.6,18,3.8,100,96
3.1,1.7,79,6.4,5.5,2.6,2.8,1.6,13,4.6,93,86
3.48,3.8,82,6.6,5.9,4.1,1.5,2.5,7,6,100,87
3.13,0.6,71,6.6,7.2,3,1.2,0.6,13,2.9,83,67
2.9,1.5,84,7.7,7.5,4.6,2.1,2.9,9,2.3,92,95
4,3.8,95,9.4,3.6,0.5,3.1,3.9,6,3,100,100
3.67,4.6,100,7.1,6,2.3,0.4,0,12,5.8,100,97
4,3.8,100,6.7,5.6,2.7,2.1,1.7,16,4.1,100,100
4,3.3,97,6.7,2,0,1.7,8.1,10,1.1,100,100
3.94,3,100,7.1,4.1,1.2,1.9,3.7,22,5.2,92,97
3.16,1.3,79,6,3.6,1.6,1.1,0,17,1.5,86,75
3.37,2.4,87,7.1,7.3,4.2,2.2,0.2,9,5.6,100,97
3.27,2.8,100,7.5,5.9,1.7,3.2,3.5,9,6.1,92,82
4,5.1,95,7.3,3.2,1.6,2,3.2,23,3.4,100,100
3.68,4,89,7.5,5.2,4,0,1.8,10,7.3,99,94
3,0.9,91,7.5,3.5,0.4,0.3,7.4,14,7.4,84,100
4,4,100,4.9,2.1,0,3.7,8.2,14,3.4,100,100
3.35,2.9,80,7.8,5.3,2.3,0,2.5,3,5.6,76,99
4,2.5,100,6.2,4,0.6,0,4.7,3,8.4,100,100
3.89,4.4,80,5.7,1.1,0.7,0.7,4.8,16,3.5,100,95
3.96,5,100,5.7,7.5,3.7,0.5,5.1,7,1.8,100,95
4,4.9,100,7.5,5.7,4.1,1.5,1.7,12,1.6,100,100
3.07,2.2,75,6.7,7,4,2.1,6.9,4,6.2,95,96
3.14,3,77,5,6.7,4.5,2,2.9,10,1.5,100,90
3.65,4,89,7.6,7,4.7,0.9,3.8,13,3.6,94,94
3.95,5,100,5.3,5,0,0.8,3,2,3.1,100,100
3.4,2.8,100,7.2,6.9,3.5,1.1,2.7,12,4.7,100,90
3.87,3.2,100,7.3,6.1,2,3.1,3.6,13,3.4,100,100
3.54,1.8,97,8.1,4.9,1.7,0.9,0.6,10,4.8,82,93
3.42,1.7,80,9.1,7.3,3.6,2,0,6,3.8,88,93
3.76,4.7,100,5.4,3.7,0.2,1.3,2.6,10,3.1,100,100
4,5.5,100,6.9,3.5,0.2,0.8,1.2,10,3.2,100,81
3.54,3.4,87,6.7,8.1,3.8,2.6,4.1,22,2.6,96,100
4,5,99,7.5,6.7,3.5,0.7,3.9,11,4.8,100,93
3.92,4,100,7.3,8.7,3,1.8,3,10,6.1,100,100
3.42,2.5,82,6.6,5.7,1.5,2.3,6,11,4.6,99,94
3.6,4,87,6.5,5.5,3.9,2.1,3,14,1.1,89,93
4,5.8,100,5.7,6.6,3.8,1.9,0.1,14,5.3,100,100
4,3.4,94,8.2,6.4,2.9,1.6,2.6,14,3.5,100,97
4,5.8,100,7.6,4.1,1,1.7,5.3,15,2.5,100,100
2.88,0.5,69,8.1,6,2.2,1.5,0,5,2.6,80,79
3.94,4.7,92,6.6,8.1,4.1,0.8,2.8,15,1.7,100,93
3.55,3.6,95,6.2,6.2,4.8,0.7,4.2,13,7.6,100,100
3.19,3.1,92,5.7,6.8,2.3,1.5,8.3,9,4.1,95,75
3.23,3.6,89,7.4,4.8,2.4,1.7,5.4,13,1.5,96,90
2.9,0.5,64,5.8,4.9,2.6,1.8,3.3,11,6.3,76,83
3.41,3.2,85,9.2,5.5,3.2,2.3,4,12,9.3,96,87
4,4,92,5.4,5.9,1.9,0,0,13,5,100,89
4,5.7,100,7.3,2.7,0,2,0.9,4,3.7,100,94
3.48,2.7,80,8.9,6.8,4.6,1.9,4.3,13,2,80,95
3.35,2.3,98,7.7,8,5.5,1.9,3.3,15,6.6,95,83
3.5,2.7,94,7.2,2.7,1.9,2.1,3.6,13,5.7,100,84
3.7,4.9,100,5.8,3.2,1.2,0.5,3.1,8,2.6,100,90
3.58,4,94,5.3,4.1,2.6,1.8,3,8,6.2,100,97
3.12,2.7,79,7.9,5.2,2.5,1.8,3.2,13,3.6,90,79
4,4.3,90,8.8,8.1,4.3,0,0.9,16,6.8,100,100
3.88,3.6,100,6.5,6.6,2.9,3.3,2.5,19,5.2,100,100
4,5,100,5.6,6.1,1.6,0.3,0.5,16,4.8,100,100
3.2,2.4,66,4.1,5,0.8,1.8,1.8,15,1.4,100,80
3.67,3,88,5.8,6.5,4.1,0,5.4,1,5,99,100
3.06,2.9,98,6.9,6.7,3.7,2.9,2.6,9,3,82,100
2.98,1.3,75,8.9,7.4,4.4,0.7,4.2,14,6.7,75,81
4,3.9,100,7.8,1.7,1.3,1,3.2,9,1.6,100,85
3.68,3.9,97,7.4,7.1,5.6,0.2,2.2,7,6.5,100,99
3.81,3.5,100,6.5,3,0.2,0.9,1,7,3.1,100,100
3.54,3.1,85,6.3,6.7,3.9,1.7,2.2,21,2,100,75
3.81,1.4,88,8.7,3.6,0,3.5,3.4,6,5,100,99
3.66,2.9,88,7.2,5.2,1.6,2.6,4.2,11,0.7,100,86
3.26,3,82,4.5,6,5.1,2.6,3.2,8,2.6,100,96
3.27,2.3,83,6.2,7.6,4,0,4.3,8,3.1,100,79
3.43,3.3,88,6,5.2,2,1.8,0,14,3.4,95,95
3.72,4.1,82,6.3,5.7,2,0.9,4.7,16,3.7,100,96
4,6.3,100,7.7,7.3,3,0.1,0.7,6,3.6,100,99
3.72,3.8,85,6.9,6.4,3.6,0.7,5,12,2.9,100,72
3.86,3.9,83,6.9,9.2,4.7,1.5,4,11,4.3,100,91
4,3.4,91,8.6,4,2.1,1,0,10,5.3,91,92
3.16,0.6,82,6.2,2.3,0.4,1.9,4.5,7,1.7,84,77
4,3.5,88,9.2,6.5,3,0,5,18,6.8,100,94
3.61,3.6,86,6.2,4.7,2.1,4.6,5.5,7,1.1,100,94
4,7.2,100,7.1,4.1,0.8,1.8,1.5,5,6.7,100,100
3.36,3.2,83,6.7,8.6,3.2,0.9,3.4,17,2.9,100,100
3.99,4,88,7.1,6,2.5,1.1,4.4,13,5.7,100,100
3.95,3.4,99,7.5,6.6,3.3,0,4.5,6,3.1,100,100
3.32,1.7,83,7.5,3.5,1.5,0,3.8,12,6.9,75,91
4,5.2,100,6.1,4.5,3.5,1.3,2.1,9,0.5,100,100
4,4.6,100,5.7,3.7,0.8,1.8,5,19,3.1,100,84
4,4.7,100,10,5.9,1.6,0,5,11,2,100,100
3.4,2.1,88,6.4,5,2.4,0.3,2.7,15,1.2,89,100
3.4,5.6,100,7.8,8.9,5.4,1.7,1.4,12,6.3,100,96
2.33,1.4,60,5.1,8.7,4,0.1,1.5,19,2.7,74,71
3.84,4.4,98,6.7,9.1,4.4,2.7,5.7,13,3.3,97,100
3.93,6.8,100,6.8,8.4,4.9,1.9,4.9,18,0.9,100,100
2.82,2,80,7.6,11.2,8,0.9,3,15,4.7,83,100
3.24,2.7,73,3.7,4.1,2.9,1.7,2.6,9,2.9,84,88
3.73,3.6,87,7.2,7.1,4.9,0.4,0,12,3.5,91,94
3.19,2.7,70,5.6,7,4.3,0.4,2.8,11,1.6,99,79
2.52,1.2,81,7.4,6.3,4.3,3.4,0.6,9,6.6,68,86
3.61,3.6,96,5.8,8.8,5.5,3.7,3.3,7,6.9,100,95
3.35,1.9,77,6,7.5,2.2,0.9,5.4,19,4.9,100,94
4,4.2,97,6.7,6.9,2.1,1.5,1,2,4.4,100,96
2.94,2.1,73,5.7,6.6,3.3,0.9,3.5,19,5.4,92,87
4,5.8,100,6.4,6.4,2.5,3,5,5,6.8,100,100
3.02,2.3,86,5.6,5.4,3.3,4,3.4,15,1.1,97,88
2.82,3,76,4.8,9.9,5.1,0.7,2,9,0,95,84
4,4.7,100,8.2,3.2,2.1,0,3,4,10,100,100
2.77,1.7,78,5.4,6.4,2.3,2.7,4.9,18,0,89,82
3.5,3.8,100,6.8,6.7,3.1,2.4,3.5,1,2.9,100,100
4,5.5,100,7.9,4.6,2.5,3.2,3,16,4.5,100,100
3.12,1.1,89,6.3,2.7,0,1.8,5.3,13,4.4,92,100
3.9,3.8,100,6,3.5,1.9,0,4,17,3.6,100,100
3.7,3.9,81,7.3,5.5,3.8,0,0.6,15,5.5,100,100
3.97,4.7,99,8.3,6.1,5,3.9,4.3,15,3.9,100,100
2.74,1.6,79,5.6,5,1.1,1.4,4.9,16,2.6,83,76
3.31,1.5,76,6.8,5.5,1.1,0.4,0.5,16,4.7,96,94
3.92,4.3,98,4.9,3.2,2.8,0,0,14,1.2,84,100
4,3.9,100,6.5,5.2,0,2.1,0.9,10,6.8,100,91
3.25,3.9,81,7,5.1,2.1,1.6,2.8,11,4.2,94,92
3.76,4,83,6,3.5,0.2,0,5,13,2.3,100,100
3.51,2.5,94,6.5,6.1,4.9,0.3,1.2,11,3.6,91,88
4,3.8,92,5.3,6.2,1.6,0.5,4.1,23,4.1,100,100
3.61,3.9,92,7.1,8.5,5.3,2.1,0,12,3.4,100,96
2.82,2.4,76,8.3,8.9,4.5,3.7,3.4,6,8,89,79
4,6.3,100,5.7,6.3,1.8,1,2.2,11,3.5,100,100
3.87,4.2,100,6.3,5.8,1.2,3.6,7.2,8,0.4,100,100
3.44,1.7,86,7.6,4.7,2.5,1.5,0,22,2.4,93,99
4,4.5,100,8.5,5.4,2.6,0.4,3,12,4.7,100,99
2.82,2,64,5.2,5.6,3.3,3.3,0,15,7,91,79
3.55,4.7,100,6.8,5.7,1.6,2.1,1.9,15,5.3,100,76
3.74,5.2,100,7.3,7.3,3.9,3.2,0,17,1.7,100,99
3.4,2.3,79,6.9,7.5,3.2,2,7.6,13,1.4,90,97
3.78,4.9,100,4,6.6,2.3,4.7,2.3,10,2.4,100,91
4,4.1,94,7.6,2.6,1.7,1.9,2.6,12,0,100,93
4,4.7,100,8.8,7.1,2.5,2.2,2.9,6,7.6,100,100
4,6.3,100,7.1,5.7,1.6,0.6,0.7,11,4,100,100
2.88,3.1,89,5.8,5.5,2.9,2.7,5.1,21,4.6,83,93
3.58,2.4,80,6.4,6.3,2.9,1.3,4.3,16,5.6,100,92
3.61,2.2,83,9.1,6.1,3.2,2.4,4.8,11,2.6,100,89
3.07,2.3,85,8.1,9.1,5.4,3.4,0.6,22,3.5,88,82
3.73,3.4,91,7.8,5.2,2.6,1.6,5.3,9,2.4,97,90
3.84,4,100,7.4,7.9,4.3,2.4,5,14,3.2,100,92
3.62,3.9,82,6.2,6.2,3.1,3.3,2.5,10,4.6,98,86
4,4.7,100,6.8,4.9,2.4,0.2,4.8,11,2.9,100,100
4,3.5,95,6.9,5.8,2.6,1.7,3.5,14,4.8,100,94
3.98,5.7,100,7.7,8.9,2.7,0,0,15,4.6,100,100
3.89,3.1,88,8.8,5.4,3.2,1.3,2.6,11,5.8,100,88
4,7.6,100,8.3,4.1,1.4,2.7,2,8,8.2,100,100
3.75,4.4,100,5.3,2.8,0.6,0,3.2,21,6.1,100,95
3.43,2.2,88,7.3,6.1,3.8,0.4,5,13,3.7,100,95
3.21,1.9,76,7.9,8.1,4.1,0,0,7,2.5,93,89
3.92,4.2,94,7.7,7.8,3.9,2.6,2.1,7,4.5,100,100
3.61,3.2,93,6.2,6,3,2.1,1.4,22,2,100,91
4,4.6,95,10,8.2,4,3,1.4,24,0,100,98
3.54,4.2,98,5.5,7.9,3.9,2.7,1.4,14,6.5,100,100
3.32,3.4,86,5.7,6.8,4,0.8,3.1,9,2.3,100,88
3.34,2.2,96,7.3,2.7,1.5,1.3,4,14,5.8,99,83
3.35,1.2,82,9.5,5.2,1.2,1,3.7,10,5,92,91
3.52,2.8,100,6,5.4,2.2,3.4,3.4,15,4.5,95,93
4,4.8,100,6.7,5.8,2.8,2.2,4.2,14,5.5,100,97
3.9,3.8,100,8.3,4.8,2.4,2.8,7.8,12,2.7,88,100
3.53,1.6,80,7,3.9,0,2.5,3.3,12,2.5,100,95
3.08,3.8,91,6.6,8.8,5.4,0.9,5,11,0,90,97
3.81,4.1,95,7.7,5.1,2.4,0.3,4.9,17,5.9,100,100
3.19,2.2,71,7.3,4.6,3.1,2.1,6.6,11,7,91,91
4,3.7,91,8.2,9,4.7,3.4,4.1,22,5.5,100,96
4,3.6,100,8.5,3.7,0,1.9,1.3,23,3.4,100,93
3.18,1.8,83,7.4,5.3,2,0,3.6,10,6.5,98,84
4,4,96,7.4,2,2.2,2.2,3.5,10,6.8,100,90
4,4.3,98,7.3,5.3,2.3,0.8,4.6,12,1.3,100,99
4,5.1,100,7.6,5.2,2.5,0,1.3,9,3.3,100,88
3.95,5.1,100,7.1,7.3,5,3.6,5.5,16,0.6,100,100
2.96,1.4,63,7,7.7,3.8,0.4,3,18,1.4,89,85
3.55,2.1,79,8.4,8.1,4.2,3.2,4.7,18,6.4,99,95
3.72,4.3,99,8.8,6.4,2.9,3.3,3.6,11,5.1,99,100
3.79,4.3,93,5.2,4.9,0.7,2,3.2,11,3.5,100,94
4,4.3,100,7,1.8,0,0.4,3.5,2,2.8,100,91
4,9.3,100,6.2,3,0.5,3,4.3,9,1.8,100,100
4,4.4,93,6.6,6.4,3.3,0.5,6.9,7,5.1,100,97
4,5.2,100,7.5,5.1,2.8,1.4,0,6,4.6,99,91
3.81,4.9,93,7.8,6.4,2.5,1.2,4.1,10,6.2,100,100
4,4.5,84,6.9,4.6,2.2,1,3.1,10,5,100,100
3.27,3,89,4.7,10.4,5.8,1.8,2.6,12,5.2,89,100
3.8,4.6,100,5.8,3.5,1.6,0,0,19,3.3,100,95
3.28,2.3,87,8.1,9.8,4.2,0.6,4.2,18,3,87,87
3.22,3.1,86,3.7,8.2,2.8,0.3,2.8,6,3.8,100,97
3.33,2.8,89,8.4,5.6,2.7,2.2,1.3,14,1.7,100,87
4,3.6,100,7.6,9,4.6,2.4,3.1,8,3.1,97,98
4,7,100,8.6,7.5,5,1.2,2.4,13,4.4,100,100
3.28,0.7,95,6.8,6.6,2.4,2.3,0,19,4.2,80,100
3.76,4.5,100,4.5,6.8,4,1.4,3.2,10,5.5,100,81
2.96,1.1,80,7.5,4.8,3.3,1.1,4.2,7,4.6,96,83
3.73,2.8,89,8.5,1.6,2.8,1.9,1.9,12,4.7,99,88
4,5.1,100,8.1,5.8,3.1,1.8,3.5,19,2.1,100,100
3.65,3.6,91,6.2,5.1,1.8,0.1,3.2,22,10.6,100,86
3.39,1.9,87,7.1,6.9,2.3,2.7,5.1,9,3.4,85,95
3.73,2.4,91,6.4,4.9,1.9,0,2.8,13,7.8,82,81
3.45,4.5,85,6,8.4,4.2,0,4.6,13,0.8,100,97
4,2.4,100,8.1,5.2,2.7,0.2,2.4,5,5.2,100,100
3.83,3.8,90,5.6,3.5,0.9,1.5,6.9,5,3.9,98,97
3.43,3.6,72,5.9,6,1.7,3.5,2.1,14,2.9,100,77
3.62,2.5,88,5.7,1,0,3.2,1.6,10,4.7,99,95
4,6.7,100,5.2,5.1,2.1,0.3,2.8,5,2.5,100,100
3.93,4.5,100,7.2,5.4,2.9,1.4,1.5,15,7.8,100,100
3.32,0.5,76,8.4,7.2,2.6,0,0.5,12,6.5,85,93
3.56,3.8,92,6.8,8.2,5.8,0.6,4.5,12,4.2,89,83
3.34,2.5,89,5.2,7.3,3.7,4,0,7,2.5,100,98
3.98,4.8,94,8,7.7,3.6,1.2,1.6,3,5.6,100,100
3.69,2.3,91,9,1.5,0.3,3,0.3,9,0.6,100,80
3.56,3.3,96,6.2,5.1,2.3,2.6,3.3,12,0.9,100,83
3.99,4.3,93,6.4,4.6,2.1,0.6,0,8,2.1,100,98
4,4.8,91,7.6,5.7,1.6,0.4,4.1,7,0,100,89
3.98,1.7,91,8.9,5.4,1.6,1.4,4.3,10,0,91,100
3.45,3,89,6.4,2.8,0.1,1.3,0,12,6,91,96
3.37,2.8,84,5.4,2.6,0.9,2.7,3.4,19,2.8,100,95
3.8,2.5,86,7.8,8.3,4.1,1.1,4,13,4.3,92,82
4,6.1,100,8,5.5,2.6,2.6,4.9,5,3.2,100,96
4,4.1,100,7,3.1,2,0.6,0.1,2,3.5,100,100
3.25,1.6,68,6.3,4,2.8,1.5,0,1,1.6,80,77
3.55,4.9,100,8.2,8.1,4.6,0.2,6,14,3.6,100,90
4,6.7,100,7.6,4.3,2.8,0,1.4,7,2.5,100,100
4,5,97,6.1,8.8,3.6,0.3,1.9,14,3.5,100,98
2.94,1.2,73,7.1,3.4,1.5,2.2,4.3,18,1.1,86,88
3.48,2.8,87,5.4,4.9,1.9,3.3,0.7,15,4.1,100,79
4,5.4,100,7.8,6.5,3.3,1.3,2.5,11,3.6,100,100
3.49,2.4,80,6.7,7.7,5.6,2.1,4.8,21,2.6,96,89
3.6,4.2,95,6.5,5.2,4.9,1.1,0.2,10,6.7,100,94
4,4.7,100,7,6.9,3.7,0.9,2,7,1.8,100,98
3.53,2.1,84,7,5.1,3,2.9,0.7,14,3.3,100,87
3.45,3.4,100,8.1,8,4.9,3.2,1.5,16,3.7,94,92
2.89,0.5,57,7.7,6.9,4,3.3,5.4,1,5.5,91,78
3.64,2,70,6.8,3.3,0,2.6,5.8,18,5.9,100,84
4,3.1,96,7.9,6.1,1.2,1.1,3.5,4,0,100,100
3.49,1.6,82,7.5,5.6,3.3,0.7,4.1,2,7.3,100,94
4,5.9,100,6.5,2.5,0.1,0,4,10,6.4,100,88
3.06,1.4,81,6.9,2.5,1.5,4,1.7,7,2.1,90,88
4,2.8,98,6.8,4.6,1.8,0,3.5,14,7.3,96,94
4,3.7,100,7.6,5.9,2.4,1.5,0.4,14,5.2,98,95
4,5.7,100,6.6,4.8,2.4,0,1.1,14,5.1,100,100
3.05,1.3,79,6.5,5.9,2.4,2.9,2.8,18,2.9,97,70
4,5.2,100,9.4,6.8,4,2,0.9,10,4.5,100,98
3.78,3.5,86,8.1,3.8,2.4,3.2,0.5,14,4.5,99,100
2.91,2,75,6.1,5.6,2.2,1.8,1.6,4,1.2,98,79
4,4.2,100,7.7,3.6,0.8,2.4,5.3,17,1.8,100,100
3.72,3.8,78,7.1,7.4,4.3,2,6.1,9,2.5,100,94
3.48,2.6,81,7.5,4.1,1.8,3.2,2.9,11,2.2,89,78
3.62,3.6,87,7.2,3.4,1.2,2,4.2,10,5.3,100,97
3.84,2.9,98,8.4,6.3,3.1,2.8,1.9,12,3.2,99,95
4,3.7,89,7.4,4.3,1.6,4.1,0,10,9.5,97,97
3.94,4.5,100,6.9,7.1,2,0.5,1.2,1,6.4,99,98
4,5.9,100,8.3,7.2,3.2,0.5,2.4,18,1.5,100,100
3.37,1.6,95,7.3,6,2.3,3.1,3.3,9,3.5,100,100
4,6.7,100,7.1,9.1,6.3,1.8,2.8,10,3.8,100,100
3.11,0.6,82,7.4,3.3,2.7,1.9,2.4,11,1.9,93,84
3.74,3.3,93,6.9,5.7,3.7,2.4,1.9,15,2,94,94
4,4.4,100,7,2.2,0,1.8,3.7,10,2.4,100,92
4,3.9,97,6.3,4.2,1.5,0,0.3,17,4.1,100,91
3.99,2.6,88,6.1,4.2,1.2,1.8,4.6,21,7.1,95,100
3.49,3.2,88,5.8,5.2,1.4,0.1,1.8,20,3.9,98,83
3.2,2.8,91,5.3,6.7,3.4,2.2,7.1,13,4.6,97,87
2.88,2.6,100,5.9,8.8,4.4,2.1,2.4,9,4.7,77,82
3.91,4.8,100,6.8,5.9,3.3,1.9,2,9,5.5,100,97
3.81,4,100,7.1,5.8,2.5,1.3,1.9,10,3.5,100,88
3.61,2.5,91,6.7,5.3,1.9,4.2,2.1,8,6,100,96
3.42,4.8,72,4.2,7.8,4.5,4.4,4.2,14,4,100,92
3.32,4,98,8.9,10.4,5.9,0,2.9,11,4.3,100,99
3.8,4.7,100,8.3,7,3,0.9,5,12,0.3,100,98
3.65,4.4,87,7.5,5.6,4.2,3.7,3.9,10,4.7,100,95
3.47,2.3,74,9.3,6.2,3.3,2.8,3.1,14,2.9,98,86
3.85,2.7,86,5.8,6.9,3.9,1.2,3.7,13,4.7,100,95
4,4.6,100,9.3,6.7,1.1,3.1,5.4,10,1.7,100,100
3.89,4.4,95,5.8,4.7,2.1,0.5,4.3,11,4.6,100,100
3.44,3.5,90,7.3,5.2,3.4,0.6,3.6,11,0.2,100,93
3.4,3.7,100,5.5,8.1,4.6,1.5,3.8,15,5.9,100,76
4,5.4,100,7,5.2,1.6,2.1,0.7,8,1.6,100,98
4,2.6,83,7.5,2.9,0,2.1,8.1,10,5.7,100,100
4,4.3,94,6.8,4.8,2.1,1.9,4.1,3,2,100,91
3.81,3.2,100,7.9,8.4,4.3,1.7,4.3,7,4.8,100,94
3.75,3.2,90,7.1,2.4,0.4,1.3,2.9,11,2.8,100,89
4,5.1,100,6.4,3.6,1,1,0,10,2.5,100,97
4,4.7,100,6.3,5.4,3,1.5,2.5,2,5.2,100,100
4,4.7,100,8,6.9,2.6,1.9,3.2,15,2.8,100,100
4,5.5,100,6.2,7,3.7,0.5,1.4,8,5.4,100,100
4,3.5,100,8.1,2.7,1,0,1.3,4,3,100,100
4,4.5,100,8.5,4.1,2.3,1.6,2.3,14,5,100,100
3.06,3,91,5,9.8,4.6,1.7,4.5,16,5.2,100,94
3.71,4,93,8.4,5.3,1,1,5.5,1,2.7,100,100
3.71,3.3,93,9.5,9,5,0.8,3.3,15,4.2,92,88
4,3.6,93,7.3,4.2,1.2,1.7,1.9,11,3.7,100,96
3.56,4.4,100,7.7,8.9,4.1,1.4,2.3,11,3.9,100,95
3.44,2.3,87,8.2,3.9,2.2,1.4,3.2,6,5.3,88,94
4,6.6,100,6.7,5,1.1,4.1,3.4,11,1.2,100,100
3.18,2,81,7.2,4.6,2.1,0,3.9,12,6.3,80,93
2.61,1.7,76,5.4,6.3,3.6,0,2.1,23,0.5,85,77
3.57,5.2,100,7.2,6.7,2.8,1.3,4.1,15,2.9,100,100
3.63,4.7,91,7.6,7.3,4.5,2.4,3.9,12,4,100,99
3.76,4.4,100,7.6,7.5,5,0.6,2.2,18,3.2,100,100
4,4.4,100,8.3,3.4,1,0,0,16,6.7,100,95
3.71,3.5,98,6.1,1.5,0.9,1.3,1.2,5,4.9,100,89
3.49,2.2,91,6.4,4.7,0.8,1.3,6.1,15,3,92,93
4,3.6,100,9.3,3.3,1.5,0,0,12,4.2,100,100
3.07,2.5,76,6.8,9.7,4.5,2,5.6,8,6.3,87,87
4,5,100,7.2,6.3,3.6,1.3,0,7,6.3,100,100
4,3.3,77,6.9,6.6,2,2.2,1.5,11,6.5,100,92
3.1,2.3,72,6,3.6,2.8,2.1,2.3,12,4.5,87,93
3.26,3,88,8.9,8.8,4.9,0,6.6,18,4.8,99,92
3.79,4.1,100,6.4,9.9,5.7,1.5,3.1,1,3.7,100,92
3.78,2.7,96,5.6,7.8,3.2,1.4,2.6,6,5.2,100,90
3.03,2.3,97,6.5,1.2,0,0.9,1.1,13,5.6,95,80
3.41,3.9,78,4.6,5.4,3.2,1.9,4,11,6,99,87
3.59,3.9,94,6.2,7.9,4.2,1.1,2,13,6.1,85,86
3.71,2.7,77,5.8,6.3,3.1,0.6,2.5,10,4.4,100,97
3.08,2.8,87,7.7,7.3,3.9,1.2,2.3,13,4.1,87,83
3.91,3.8,100,6.2,5.9,3.3,0.4,4.4,4,3.2,100,96
3.7,1.3,89,8.1,5.8,0.9,1.6,4.5,22,2,87,93
3.26,1.4,94,8.7,7.6,1.5,0.8,1.2,14,4.3,86,95
3.58,2.4,77,7.9,5.4,2.3,1.1,1.7,14,3.9,87,90
3.4,3.2,79,6.7,7.9,4.4,0,1.5,7,3.8,91,80
4,4,100,7.2,4.8,1.7,0,3.4,9,6.2,100,98
4,5.7,100,5.2,8,3.5,2,4.8,15,4.7,100,98
4,4.8,100,6.8,7.3,3.3,3.1,3.4,10,4.3,100,88
3.28,3.3,85,6,6.9,5.2,1.5,0,13,4.4,99,93
3.5,3.5,100,7.8,5,2.7,3.7,4.5,8,5,100,93
4,2,98,10,2,0.2,2.2,0.3,5,3.2,93,100
3.68,3.5,97,7.6,10,3.8,1.2,1.6,18,4.7,100,91
2.75,3.1,72,4.6,9.8,6,3.5,3.4,8,5.6,72,64
3.96,4,100,6.6,6.2,3.9,0.5,2.8,17,2.7,100,100
3.72,2.3,86,7.1,3.8,1.6,2,4.7,8,0,86,88
4,4.3,91,7.1,5.2,1.2,1.8,1.8,11,0.4,100,94
4,5.8,100,6.1,5.5,1.4,0,1.1,10,1.2,100,100
3.18,3.3,81,7.3,9.8,5.8,1.1,2.4,11,1.9,95,73
3.46,4.1,100,5.5,4.8,2.3,3.8,5,16,1.6,99,100
4,4.5,94,5.9,5.2,1.8,0.9,4.3,20,0,100,91
3.4,2.9,94,7.8,5.7,2.6,0.8,3.2,11,6.6,92,93
4,3.8,77,5.8,4.2,2.3,2.2,5.7,13,0.8,100,92
3.64,3.5,97,7.6,7.1,5.2,0,5.3,11,6.8,90,100
