student_id,cluster
S1272,0
S1273,0
S1274,0
S1275,0
S1276,0
S1278,0
S1279,0
S1280,0
S1281,0
S1283,0
S1284,0
S1286,0
S1287,0
S1288,0
S1289,0
S1291,0
S1292,0
S1293,0
S1294,0
S1295,0
S1296,0
S1297,0
S1298,0
S1299,0
S1300,0
S1301,0
S1302,0
S1304,0
S1305,0
S1306,0
S1308,0
S1309,0
S1310,0
S1311,0
S1312,0
S1313,0
S1314,0
S1315,0
S1316,0
S1317,0
S1318,0
S1319,0
S1321,0
S1322,0
S1323,0
S1324,0
S1325,0
S1326,0
S1327,0
S1328,0
S1329,0
S1330,0
S1332,0
S1333,0
S1335,-1
S1336,0
S1337,0
S1338,0
S1339,0
S1340,0
S1341,0
S1342,0
S1343,0
S1344,0
S1345,0
S1346,-1
S1347,0
S1348,0
S1349,0
S1350,0
S1351,0
S1352,0
S1353,0
S1354,0
S1355,0
S1356,0
S1357,0
S1358,0
S1359,0
S1360,0
S1361,-1
S1362,0
S1363,0
S1364,0
S1366,0
S1367,0
S1368,0
S1369,0
S1370,0
S1371,-1
S1372,0
S1373,0
S1374,0
S1375,0
S1377,0
S1378,0
S1379,0
S1380,0
S1381,0
S1382,0
S1383,0
S1384,0
S1385,0
S1386,0
S1387,0
S1388,0
S1389,0
S1390,0
S1392,0
S1393,-1
S1394,0
S1395,0
S1396,0
S1397,0
S1398,0
S1399,0
S1400,0
S1402,0
S1404,0
S1405,0
S1406,0
S1407,0
S1408,0
S1409,0
S1410,0
S1411,0
S1412,0
S1413,0
S1414,-1
S1416,0
S1417,0
S1419,0
S1420,0
S1422,0
S1423,0
S1424,0
S1425,0
S1426,0
S1427,0
S1428,0
S1429,0
S1430,0
S1431,-1
S1432,0
S1433,0
S1434,0
S1435,0
S1436,0
S1438,0
S1439,0
S1440,0
S1441,0
S1443,0
S1444,0
S1445,0
S1446,0
S1447,-1
S1448,0
S1449,0
S1450,0
S1451,0
S1452,0
S1453,0
S1454,0
S1455,0
S1456,0
S1457,0
S1458,0
S1459,0
S1460,0
S1461,0
S1462,0
S1463,0
S1464,0
S1466,0
S1467,0
S1468,0
S1469,0
S1470,0
S1471,0
S1472,0
S1473,0
S1474,0
S1475,0
S1476,0
S1477,0
S1478,0
S1479,0
S1481,0
S1483,0
S1484,0
S1485,0
S1487,0
S1488,0
S1489,0
S1490,0
S1491,0
S1492,0
S1493,0
S1494,0
S1495,0
S1496,0
S1498,0
S1499,0
S1500,0
S1501,0
S1503,0
S1504,0
S1506,0
S1508,0
S1509,0
S1510,0
S1511,0
S1513,0
S1514,0
S1515,0
S1516,0
S1517,0
S1518,0
S1519,0
S1520,0
S1521,0
S1522,0
S1523,0
S1524,0
S1525,0
S1527,0
S1528,0
S1529,0
S1530,0
S1532,0
S1533,0
S1534,0
S1535,0
S1536,0
S1537,0
S1538,0
S1540,0
S1541,0
S1542,0
S1543,0
S1544,0
S1545,0
S1546,0
S1547,0
S1548,0
S1549,0
S1550,0
S1551,0
S1552,0
S1553,0
S1556,-1
S1557,0
S1558,0
S1559,0
S1560,0
S1561,1
S1563,0
S1564,0
S1565,0
S1566,0
S1567,-1
S1568,0
S1570,0
S1571,0
S1572,0
S1573,0
S1574,0
S1575,0
S1576,0
S1577,0
S1578,0
S1579,0
S1580,0
S1581,0
S1582,0
S1583,0
S1584,0
S1585,0
S1586,0
S1587,0
S1588,0
S1589,0
S1590,-1
S1591,0
S1592,0
S1593,0
S1594,0
S1595,0
S1596,0
S1597,0
S1598,0
S1599,0
S1600,0
S1601,0
S1604,0
S1605,0
S1606,0
S1607,0
S1608,0
S1609,0
S1610,0
S1611,0
S1612,0
S1613,0
S1614,0
S1615,0
S1616,0
S1617,0
S1618,0
S1619,0
S1621,0
S1622,0
S1623,0
S1624,0
S1625,0
S1626,0
S1627,0
S1628,0
S1629,0
S1630,-1
S1631,0
S1632,0
S1633,0
S1634,0
S1635,0
S1636,0
S1638,0
S1639,0
S1640,0
S1641,0
S1642,0
S1643,0
S1644,0
S1646,0
S1648,0
S1649,0
S1650,0
S1651,0
S1652,-1
S1653,0
S1654,0
S1655,0
S1656,0
S1657,0
S1658,0
S1659,-1
S1660,0
S1661,0
S1663,0
S1664,0
S1665,0
S1667,0
S1668,0
S1669,0
S1670,0
S1671,0
S1672,0
S1673,0
S1674,0
S1675,0
S1676,0
S1678,0
S1679,0
S1683,0
S1684,0
S1685,0
S1686,0
S1687,0
S1688,0
S1690,0
S1691,0
S1692,0
S1693,0
S1694,0
S1695,0
S1696,0
S1697,0
S1698,0
S1699,0
S1700,0
S1701,0
S1702,0
S1703,0
S1704,0
S1705,0
S1706,0
S1707,0
S1709,0
S1710,0
S1711,0
S1712,0
S1713,0
S1714,0
S1715,0
S1716,0
S1717,0
S1718,0
S1719,0
S1720,0
S1721,-1
S1722,0
S1723,0
S1724,0
S1725,0
S1726,0
S1727,-1
S1729,0
S1730,0
S1731,0
S1732,0
S1733,0
S1734,0
S1735,-1
S1736,0
S1737,0
S1738,0
S1739,0
S1741,0
S1742,0
S1743,0
S1744,0
S1745,0
S1746,0
S1747,0
S1748,0
S1749,0
S1750,0
S1751,0
S1752,0
S1753,0
S1754,0
S1755,0
S1756,0
S1757,0
S1758,0
S1759,0
S1761,0
S1762,0
S1763,0
S1764,0
S1765,0
S1767,0
S1768,0
S1769,-1
S1770,0
S1771,0
S1772,0
S1773,0
S1774,-1
S1775,0
S1776,0
S1777,0
S1778,0
S1779,0
S1780,0
S1781,0
S1783,0
S1784,0
S1786,0
S1787,0
S1788,0
S1789,0
S1790,0
S1791,0
S1792,0
S1793,0
S1794,0
S1796,0
S1797,0
S1798,0
S1799,0
S1800,0
S1801,0
S1803,0
S1804,0
S1805,0
S1806,0
S1807,0
S1808,0
S1809,0
S1810,0
S1811,0
S1812,0
S1813,0
S1814,0
S1815,0
S1816,0
S1817,0
S1818,0
S1819,-1
S1820,0
S1821,0
S1822,-1
S1823,0
S1825,0
S1826,0
S1827,0
S1828,-1
S1830,0
S1831,0
S1832,0
S1833,0
S1834,0
S1835,0
S1837,0
S1838,0
S1839,0
S1840,0
S1841,0
S1842,0
S1843,0
S1844,0
S1845,0
S1846,0
S1847,0
S1848,0
S1849,0
S1850,0
S1851,0
S1852,0
S1853,0
S1854,0
S1855,0
S1856,0
S1857,0
S1858,0
S1859,0
S1860,-1
S1861,0
S1862,0
S1863,0
S1864,0
S1865,0
S1866,0
S1867,0
S1868,0
S1869,0
S1870,-1
S1871,0
S1873,0
S1874,0
S1875,-1
S1876,0
S1877,0
S1878,0
S1879,0
S1880,0
S1881,0
S1882,0
S1883,0
S1884,0
S1885,-1
S1886,0
S1888,0
S1889,0
S1890,0
S1891,0
S1892,0
S1893,0
S1894,0
S1895,0
S1896,0
S1897,0
S1898,0
S1900,0
S1901,0
S1902,0
S1903,0
S1904,0
S1905,0
S1906,-1
S1907,0
S1908,-1
S1909,0
S1912,0
S1913,0
S1914,0
S1915,0
S1916,0
S1917,0
S1918,0
S1919,0
S1922,0
S1923,0
S1924,0
S1926,0
S1927,0
S1928,0
S1929,0
S1930,0
S1931,0
S1932,0
S1933,0
S1934,0
S1935,0
S1936,0
S1937,0
S1938,0
S1940,0
S1941,0
S1942,0
S1943,0
S1944,0
S1946,0
S1947,0
S1948,0
S1949,0
S1950,0
S1951,0
S1952,0
S1953,0
S1954,0
S1955,0
S1956,0
S1957,0
S1958,0
S1959,0
S1960,-1
S1961,0
S1962,0
S1963,0
S1964,0
S1965,0
S1966,0
S1968,0
S1969,0
S1970,0
S1971,0
S1972,0
S1973,0
S1974,0
S1975,0
S1976,0
S1977,0
S1978,0
S1979,0
S1980,0
S1981,-1
S1982,0
S1983,0
S1984,0
S1985,0
S1986,0
S1987,0
S1988,0
S1989,0
S1990,0
S1991,0
S1992,0
S1993,0
S1994,0
S1995,0
S1996,0
S1997,0
S1998,0
S1999,0
